,target_goals
target_goals,1.0
club_goals,0.3859328907694909
club_non_penalty_goals,0.38037118617859333
team_goal_share,0.3572358190404194
position_is_forward,0.3115667523154747
club_assists,0.29778570610708294
club_penalty_goals,0.27666762574686526
club_goals_per90,0.22909707619173345
league_goals_rank_pct,0.15306436337867788
club_minutes,0.1528088756588947
league_non_penalty_goals_rank_pct,0.15205016743692445
age,-0.029308818969757323
position_is_midfielder,-0.12954624913823728
fifa_rank,-0.1439026013974397
position_is_defender,-0.16632908911209976
