Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25.0,2000,33,27,2220,24.7,4,5,9,4,0,0,2,0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,1,us USA,"MF,FW",eng Premier League,25-188,2000,24.7,4,43,16,37.2,1.74,0.65,0.09,0.25,0,0,1,us USA,"MF,FW",eng Premier League,25-188,2000,33,2220,67,72.5,24.7,27,78,2,6,21,1,1.12,35,28,+7,+0.28,+1.78,1,us USA,"MF,FW",eng Premier League,25-188,2000,24.7,2,0,0,19,47,5,36,15,22,0
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19.0,2006,2,1,120,1.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2,eng ENG,DF,eng Premier League,19-350,2006,1.3,0,0,0,,0.00,0.00,,,0,0,3,eng ENG,DF,eng Premier League,19-350,2006,2,120,60,3.9,1.3,1,75,0,1,45,11,0.00,0,4,-4,-3.00,-3.00,2,eng ENG,DF,eng Premier League,19-350,2006,1.3,0,0,0,2,1,0,3,2,2,0
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20.0,2006,20,4,638,7.1,2,0,2,2,0,0,0,0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,3,ma MAR,"MF,FW",es La Liga,20-106,2006,7.1,2,16,4,25.0,2.26,0.56,0.13,0.50,0,0,5,ma MAR,"MF,FW",es La Liga,20-106,2006,20,638,32,21.5,7.1,4,75,1,16,21,13,1.55,16,11,+5,+0.71,+0.82,3,ma MAR,"MF,FW",es La Liga,20-106,2006,7.1,0,0,0,5,3,2,26,3,3,0
4,Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,26.0,1999,8,1,138,1.5,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,4,dz ALG,MF,fr Ligue 1,26-162,1999,1.5,0,4,1,25.0,2.61,0.65,0.00,0.00,0,0,6,dz ALG,MF,fr Ligue 1,26-162,1999,8,138,17,4.9,1.5,1,58,0,7,11,2,1.00,2,8,-6,-3.91,-4.73,4,dz ALG,MF,fr Ligue 1,26-162,1999,1.5,1,0,0,3,0,0,1,2,1,0
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,5,dz ALG,MF,fr Ligue 1,26-162,1999,10.5,2,11,5,45.5,1.05,0.48,0.00,0.00,2,2,7,dz ALG,MF,fr Ligue 1,26-162,1999,13,943,73,33.8,10.5,11,81,4,2,25,0,1.38,12,13,-1,-0.10,+0.68,5,dz ALG,MF,fr Ligue 1,26-162,1999,10.5,1,0,0,16,12,1,9,13,17,0
6,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32.0,1993,19,12,1045,11.6,2,0,2,2,0,0,4,1,0.17,,,,,,,,,,,,,,,,,,,,,,,,,6,tn TUN,"MF,DF",fr Ligue 1,32-129,1993,11.6,2,9,2,22.2,0.78,0.17,0.22,1.00,0,0,9,tn TUN,"MF,DF",fr Ligue 1,32-129,1993,19,1045,55,37.5,11.6,12,74,6,7,22,2,0.68,18,16,+2,+0.17,+1.41,6,tn TUN,"MF,DF",fr Ligue 1,32-129,1993,11.6,4,1,1,19,17,0,30,10,9,0
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,26.0,2000,16,11,833,9.3,0,0,0,0,0,0,3,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,7,gh GHA,MF,fr Ligue 1,26-033,2000,9.3,0,1,0,0.0,0.11,0.00,0.00,,0,0,10,gh GHA,MF,fr Ligue 1,26-033,2000,16,833,52,29.9,9.3,11,68,2,5,17,11,1.13,13,16,-3,-0.32,+0.55,7,gh GHA,MF,fr Ligue 1,26-033,2000,9.3,3,0,0,19,9,0,1,11,7,0
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999,23,12,1227,13.6,2,4,6,2,0,0,3,0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,8,sa KSA,MF,fr Ligue 1,26-284,1999,13.6,2,8,3,37.5,0.59,0.22,0.25,0.67,0,0,11,sa KSA,MF,fr Ligue 1,26-284,1999,23,1227,53,45.4,13.6,12,86,8,11,18,6,1.83,31,17,+14,+1.03,+0.17,8,sa KSA,MF,fr Ligue 1,26-284,1999,13.6,3,0,0,22,13,1,45,9,22,0
9,Tay Abed,il ISR,MF,Levante,es La Liga,22.0,2004,5,0,45,0.5,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,9,il ISR,MF,es La Liga,22-051,2004,0.5,0,0,0,,0.00,0.00,,,0,0,12,il ISR,MF,es La Liga,22-051,2004,5,45,9,1.5,0.5,0,,0,5,9,8,1.00,1,2,-1,-2.00,-1.63,9,il ISR,MF,es La Liga,22-051,2004,0.5,0,0,0,1,2,0,3,1,1,0
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,1993,25,24,2073,23.0,1,0,1,1,0,0,6,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,10,fr FRA,MF,fr Ligue 1,33-086,1993,23.0,1,20,5,25.0,0.87,0.22,0.05,0.20,0,0,13,fr FRA,MF,fr Ligue 1,33-086,1993,25,2073,83,74.3,23.0,24,85,17,1,22,0,1.40,34,37,-3,-0.13,+0.12,10,fr FRA,MF,fr Ligue 1,33-086,1993,23.0,6,0,0,23,23,0,9,26,22,0
