Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Crs,TklW,Int,Fld,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25.0,2000,33,27,2220,24.7,4,5,9,4,0,0,2,0,0.36,43,16,37.2,1.74,0.65,0.09,0.25,0,0,36,22,15,47,2,0,0,19,0,,,,,,,,,,,,,,
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19.0,2006,2,1,120,1.3,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,3,2,2,1,0,0,0,2,0,,,,,,,,,,,,,,
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20.0,2006,20,4,638,7.1,2,0,2,2,0,0,0,0,0.28,16,4,25.0,2.26,0.56,0.13,0.50,0,0,26,3,3,3,0,0,0,5,0,,,,,,,,,,,,,,
4,Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,26.0,1999,8,1,138,1.5,0,0,0,0,0,0,1,0,0.00,4,1,25.0,2.61,0.65,0.00,0.00,0,0,1,1,2,0,1,0,0,3,0,,,,,,,,,,,,,,
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.00,11,5,45.5,1.05,0.48,0.00,0.00,2,2,9,17,13,12,1,0,0,16,0,,,,,,,,,,,,,,
6,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32.0,1993,19,12,1045,11.6,2,0,2,2,0,0,4,1,0.17,9,2,22.2,0.78,0.17,0.22,1.00,0,0,30,9,10,17,4,1,1,19,0,,,,,,,,,,,,,,
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,26.0,2000,16,11,833,9.3,0,0,0,0,0,0,3,0,0.00,1,0,0.0,0.11,0.00,0.00,,0,0,1,7,11,9,3,0,0,19,0,,,,,,,,,,,,,,
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999,23,12,1227,13.6,2,4,6,2,0,0,3,0,0.44,8,3,37.5,0.59,0.22,0.25,0.67,0,0,45,22,9,13,3,0,0,22,0,,,,,,,,,,,,,,
9,Tay Abed,il ISR,MF,Levante,es La Liga,22.0,2004,5,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,3,1,1,2,0,0,0,1,0,,,,,,,,,,,,,,
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,1993,25,24,2073,23.0,1,0,1,1,0,0,6,0,0.04,20,5,25.0,0.87,0.22,0.05,0.20,0,0,9,22,26,23,6,0,0,23,0,,,,,,,,,,,,,,
11,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,23.0,2003,30,25,2323,25.8,5,3,8,5,0,1,5,0,0.31,76,21,27.6,2.94,0.81,0.07,0.24,0,1,57,12,9,42,5,0,0,28,0,,,,,,,,,,,,,,
12,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25.0,2000,23,22,1881,20.9,3,1,4,3,0,0,4,1,0.19,16,6,37.5,0.77,0.29,0.19,0.50,0,0,56,18,5,6,4,1,0,22,0,,,,,,,,,,,,,,
